Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate
38,No,Travel_Rarely,Travel_Rarely,Research & Development,23,4,Life Sciences,1,393,4,Male,82
26,Yes,Travel_Rarely,Travel_Rarely,Research & Development,16,4,Medical,1,394,1,Male,45
28,No,Travel_Rarely,Travel_Rarely,Research & Development,8,2,Life Sciences,1,395,4,Female,66
49,No,Travel_Frequently,Travel_Rarely,Research & Development,10,4,Life Sciences,1,396,3,Female,35
36,No,Travel_Rarely,Travel_Rarely,Research & Development,3,3,Technical Degree,1,397,3,Male,30
31,No,Travel_Frequently,Travel_Rarely,Sales,5,3,Marketing,1,399,4,Female,84
26,Yes,Travel_Rarely,Travel_Rarely,Sales,4,4,Marketing,1,401,4,Male,48
37,No,Travel_Frequently,Travel_Rarely,Research & Development,9,3,Medical,1,403,2,Male,53
42,No,Travel_Frequently,Travel_Rarely,Sales,26,3,Marketing,1,404,3,Female,77
18,Yes,Travel_Rarely,Travel_Rarely,Research & Development,3,3,Life Sciences,1,405,3,Male,54
35,No,Travel_Rarely,Travel_Rarely,Sales,16,3,Marketing,1,406,3,Male,96
36,No,Travel_Frequently,Travel_Rarely,Research & Development,18,4,Life Sciences,1,407,3,Male,81
51,No,Travel_Rarely,Travel_Rarely,Research & Development,2,3,Medical,1,408,4,Male,84
41,No,Travel_Rarely,Travel_Rarely,Sales,2,4,Life Sciences,1,410,4,Male,88
18,No,Travel_Rarely,Travel_Rarely,Sales,10,3,Medical,1,411,4,Female,69
28,No,Travel_Rarely,Travel_Rarely,Research & Development,16,2,Medical,1,412,2,Male,68
31,No,Travel_Rarely,Travel_Rarely,Sales,7,3,Technical Degree,1,416,2,Male,100
39,No,Travel_Rarely,Travel_Rarely,Research & Development,1,3,Medical,1,417,3,Male,48
36,No,Non-Travel,Travel_Rarely,Research & Development,24,4,Life Sciences,1,419,2,Female,47
32,No,Travel_Rarely,Travel_Rarely,Sales,7,3,Life Sciences,1,420,4,Male,91
38,No,Travel_Rarely,Travel_Rarely,Research & Development,25,2,Life Sciences,1,421,1,Female,81
58,No,Non-Travel,Travel_Rarely,Research & Development,1,4,Life Sciences,1,422,4,Male,32
31,No,Travel_Rarely,Travel_Rarely,Research & Development,5,4,Technical Degree,1,423,3,Male,86
31,No,Travel_Rarely,Travel_Rarely,Human Resources,2,3,Human Resources,1,424,1,Male,62
45,No,Travel_Frequently,Travel_Rarely,Research & Development,7,3,Life Sciences,1,425,1,Male,97
31,No,Travel_Rarely,Travel_Rarely,Research & Development,2,4,Life Sciences,1,426,3,Male,32
33,No,Travel_Frequently,Travel_Rarely,Research & Development,5,4,Life Sciences,1,428,4,Female,74
39,No,Travel_Rarely,Travel_Rarely,Research & Development,10,1,Medical,1,429,3,Male,99
43,No,Travel_Frequently,Travel_Rarely,Research & Development,10,4,Life Sciences,1,430,3,Female,33
49,No,Travel_Rarely,Travel_Rarely,Research & Development,1,2,Technical Degree,1,431,3,Female,90
52,Yes,Travel_Rarely,Travel_Rarely,Research & Development,8,4,Medical,1,433,3,Male,85
27,No,Travel_Rarely,Travel_Rarely,Research & Development,5,3,Life Sciences,1,434,3,Female,85
32,No,Travel_Rarely,Travel_Rarely,Sales,8,2,Technical Degree,1,436,3,Female,65
27,No,Travel_Rarely,Travel_Rarely,Sales,2,3,Life Sciences,1,437,4,Male,74
31,No,Travel_Rarely,Travel_Rarely,Sales,7,3,Marketing,1,438,4,Male,73
32,No,Travel_Rarely,Travel_Rarely,Research & Development,2,4,Medical,1,439,1,Female,74
28,Yes,Travel_Rarely,Travel_Rarely,Research & Development,2,4,Medical,1,440,1,Male,84
30,No,Travel_Rarely,Travel_Rarely,Research & Development,28,2,Medical,1,441,4,Female,64
31,No,Travel_Frequently,Travel_Rarely,Research & Development,7,2,Life Sciences,1,442,3,Female,48
39,No,Travel_Frequently,Travel_Rarely,Research & Development,7,2,Medical,1,444,3,Male,54
39,Yes,Travel_Rarely,Travel_Rarely,Sales,3,2,Medical,1,445,4,Female,41
33,No,Travel_Frequently,Travel_Rarely,Sales,10,3,Marketing,1,446,2,Male,46
47,No,Travel_Rarely,Travel_Rarely,Research & Development,5,5,Life Sciences,1,447,4,Male,42
43,No,Travel_Frequently,Travel_Rarely,Research & Development,10,4,Life Sciences,1,448,3,Female,82
27,No,Non-Travel,Travel_Rarely,Sales,1,1,Marketing,1,449,3,Male,73
54,No,Travel_Frequently,Travel_Rarely,Research & Development,20,4,Life Sciences,1,450,4,Female,31
43,No,Travel_Rarely,Travel_Rarely,Research & Development,7,3,Life Sciences,1,451,3,Female,43
45,No,Travel_Rarely,Travel_Rarely,Research & Development,8,4,Other,1,452,4,Male,75
40,No,Travel_Rarely,Travel_Rarely,Sales,1,2,Medical,1,453,2,Male,57
29,Yes,Travel_Rarely,Travel_Rarely,Research & Development,8,4,Other,1,454,2,Male,77
29,No,Travel_Rarely,Travel_Rarely,Research & Development,9,5,Other,1,455,2,Male,30
30,No,Travel_Rarely,Travel_Rarely,Sales,5,3,Marketing,1,456,4,Female,30
27,No,Travel_Rarely,Travel_Rarely,Sales,8,4,Marketing,1,458,2,Female,56
37,No,Travel_Rarely,Travel_Rarely,Research & Development,5,2,Medical,1,460,4,Male,61
38,No,Travel_Rarely,Travel_Rarely,Research & Development,15,2,Life Sciences,1,461,3,Male,92
31,No,Travel_Rarely,Travel_Rarely,Research & Development,7,4,Medical,1,462,3,Female,39
29,No,Travel_Rarely,Travel_Rarely,Sales,10,1,Marketing,1,463,4,Female,39
35,No,Travel_Rarely,Travel_Rarely,Research & Development,5,4,Technical Degree,1,464,3,Male,62
23,No,Travel_Rarely,Travel_Rarely,Research & Development,26,1,Life Sciences,1,465,3,Male,83
41,No,Travel_Rarely,Travel_Rarely,Research & Development,6,3,Medical,1,466,4,Male,95
47,No,Travel_Frequently,Travel_Rarely,Sales,4,1,Medical,1,467,2,Male,99
42,No,Travel_Rarely,Travel_Rarely,Research & Development,23,5,Life Sciences,1,468,1,Female,44
29,No,Non-Travel,Travel_Rarely,Sales,2,3,Life Sciences,1,469,4,Male,61
42,No,Travel_Rarely,Travel_Rarely,Human Resources,2,1,Technical Degree,1,470,3,Male,52
32,No,Travel_Rarely,Travel_Rarely,Research & Development,2,3,Medical,1,471,3,Female,75
48,No,Travel_Rarely,Travel_Rarely,Sales,29,1,Medical,1,473,1,Female,91
37,No,Travel_Rarely,Travel_Rarely,Research & Development,6,3,Medical,1,474,3,Male,51
30,No,Non-Travel,Travel_Rarely,Sales,25,2,Technical Degree,1,475,4,Female,85
26,No,Travel_Rarely,Travel_Rarely,Sales,1,3,Life Sciences,1,476,3,Male,57
42,No,Travel_Rarely,Travel_Rarely,Research & Development,2,4,Other,1,477,1,Male,98
21,Yes,Travel_Frequently,Travel_Rarely,Sales,1,1,Technical Degree,1,478,1,Female,99
36,No,Non-Travel,Travel_Rarely,Sales,1,5,Medical,1,479,4,Female,45
36,No,Travel_Frequently,Travel_Rarely,Sales,3,4,Medical,1,481,1,Male,48
57,No,Travel_Rarely,Travel_Rarely,Research & Development,1,4,Medical,1,482,4,Male,88
40,No,Travel_Rarely,Travel_Rarely,Research & Development,10,4,Life Sciences,1,483,4,Female,46
21,No,Non-Travel,Travel_Rarely,Sales,9,2,Medical,1,484,1,Male,39
33,Yes,Travel_Rarely,Travel_Rarely,Sales,5,3,Marketing,1,485,4,Female,34
37,No,Travel_Rarely,Travel_Rarely,Research & Development,10,3,Medical,1,486,3,Female,98
46,No,Non-Travel,Travel_Rarely,Research & Development,7,4,Medical,1,487,3,Female,30
41,Yes,Travel_Frequently,Travel_Rarely,Sales,4,3,Marketing,1,488,1,Male,56
50,No,Travel_Rarely,Travel_Rarely,Research & Development,10,3,Technical Degree,1,491,4,Male,100
40,Yes,Travel_Rarely,Travel_Rarely,Sales,22,2,Marketing,1,492,3,Male,68
31,No,Travel_Rarely,Travel_Rarely,Research & Development,9,4,Life Sciences,1,493,3,Male,42
21,Yes,Travel_Rarely,Travel_Rarely,Sales,12,3,Life Sciences,1,494,3,Female,90
29,No,Travel_Rarely,Travel_Rarely,Research & Development,23,3,Life Sciences,1,495,4,Male,54
35,No,Travel_Rarely,Travel_Rarely,Research & Development,9,4,Life Sciences,1,496,3,Male,97
27,No,Travel_Rarely,Travel_Rarely,Research & Development,1,2,Medical,1,497,4,Male,82
28,No,Travel_Rarely,Travel_Rarely,Sales,9,4,Life Sciences,1,498,2,Male,92
49,No,Travel_Rarely,Travel_Rarely,Research & Development,7,3,Other,1,499,2,Male,31
51,No,Travel_Rarely,Travel_Rarely,Sales,14,2,Life Sciences,1,500,3,Female,87
36,No,Travel_Rarely,Travel_Rarely,Research & Development,2,3,Life Sciences,1,501,4,Female,96
34,Yes,Non-Travel,Travel_Rarely,Sales,19,3,Marketing,1,502,1,Male,67
55,No,Travel_Rarely,Travel_Rarely,Research & Development,2,3,Life Sciences,1,505,3,Female,97
24,No,Travel_Rarely,Travel_Rarely,Sales,10,4,Marketing,1,507,4,Female,77
30,No,Travel_Rarely,Travel_Rarely,Sales,2,1,Technical Degree,1,508,3,Male,72
26,Yes,Travel_Frequently,Travel_Rarely,Research & Development,3,1,Technical Degree,1,510,3,Male,73
22,No,Travel_Rarely,Travel_Rarely,Research & Development,11,3,Medical,1,511,1,Female,43
36,No,Travel_Rarely,Travel_Rarely,Sales,2,2,Medical,1,513,2,Male,61
30,Yes,Travel_Frequently,Travel_Rarely,Research & Development,4,3,Technical Degree,1,514,3,Male,40
37,No,Travel_Rarely,Travel_Rarely,Research & Development,14,3,Life Sciences,1,515,4,Female,95
40,No,Travel_Rarely,Travel_Rarely,Sales,2,2,Marketing,1,516,4,Female,46
42,No,Travel_Rarely,Travel_Rarely,Research & Development,1,4,Life Sciences,1,517,2,Female,95
37,No,Travel_Rarely,Travel_Rarely,Research & Development,10,4,Life Sciences,1,518,3,Male,49
43,No,Travel_Rarely,Travel_Rarely,Research & Development,12,3,Life Sciences,1,520,1,Male,59
40,No,Travel_Rarely,Travel_Rarely,Research & Development,2,3,Medical,1,521,2,Female,78
54,No,Travel_Rarely,Travel_Rarely,Research & Development,5,2,Medical,1,522,1,Male,86
34,No,Non-Travel,Travel_Rarely,Sales,4,4,Marketing,1,523,3,Female,72
31,No,Travel_Rarely,Travel_Rarely,Research & Development,7,2,Medical,1,524,2,Female,31
43,No,Travel_Frequently,Travel_Rarely,Research & Development,21,3,Medical,1,525,4,Male,61
43,No,Travel_Rarely,Travel_Rarely,Research & Development,8,4,Other,1,526,3,Female,74
25,No,Travel_Rarely,Travel_Rarely,Sales,4,2,Life Sciences,1,527,2,Female,99
37,No,Non-Travel,Travel_Rarely,Research & Development,25,5,Medical,1,529,2,Female,72
31,No,Travel_Rarely,Travel_Rarely,Research & Development,1,2,Life Sciences,1,530,4,Male,98
39,No,Travel_Frequently,Travel_Rarely,Research & Development,1,1,Life Sciences,1,531,2,Male,52
56,No,Travel_Frequently,Travel_Rarely,Sales,6,3,Life Sciences,1,532,3,Female,86
30,No,Travel_Rarely,Travel_Rarely,Sales,12,3,Technical Degree,1,533,2,Female,83
41,No,Travel_Rarely,Travel_Rarely,Sales,1,3,Marketing,1,534,2,Male,49
28,No,Travel_Rarely,Travel_Rarely,Research & Development,17,2,Medical,1,536,3,Male,79
25,Yes,Travel_Rarely,Travel_Rarely,Research & Development,3,3,Medical,1,538,1,Male,91
52,No,Travel_Rarely,Travel_Rarely,Research & Development,3,3,Medical,1,543,4,Male,39
45,No,Travel_Rarely,Travel_Rarely,Research & Development,10,2,Life Sciences,1,544,1,Male,69
52,No,Travel_Rarely,Travel_Rarely,Research & Development,4,2,Life Sciences,1,546,4,Female,30
42,No,Travel_Frequently,Travel_Rarely,Research & Development,29,2,Life Sciences,1,547,1,Female,92
30,No,Travel_Rarely,Travel_Rarely,Research & Development,2,3,Life Sciences,1,548,3,Female,43
60,No,Travel_Rarely,Travel_Rarely,Research & Development,7,3,Life Sciences,1,549,1,Female,41
46,No,Travel_Rarely,Travel_Rarely,Research & Development,18,3,Medical,1,550,3,Female,87
42,No,Travel_Frequently,Travel_Rarely,Research & Development,28,4,Technical Degree,1,551,4,Female,88
24,Yes,Travel_Rarely,Travel_Rarely,Sales,1,1,Technical Degree,1,554,1,Female,62
34,Yes,Travel_Frequently,Travel_Rarely,Sales,6,2,Marketing,1,555,4,Female,33
38,No,Travel_Frequently,Travel_Rarely,Research & Development,2,2,Life Sciences,1,556,4,Male,42
40,No,Travel_Rarely,Travel_Rarely,Sales,2,4,Life Sciences,1,558,3,Female,79
26,No,Travel_Rarely,Travel_Rarely,Research & Development,23,3,Life Sciences,1,560,1,Female,90
30,No,Non-Travel,Travel_Rarely,Research & Development,3,3,Life Sciences,1,562,3,Male,53
29,No,Travel_Rarely,Travel_Rarely,Research & Development,3,4,Medical,1,564,2,Male,93
29,Yes,Travel_Rarely,Travel_Rarely,Research & Development,25,5,Technical Degree,1,565,3,Female,71
19,Yes,Travel_Rarely,Travel_Rarely,Human Resources,2,2,Technical Degree,1,566,1,Male,52
30,No,Non-Travel,Travel_Rarely,Sales,22,4,Other,1,567,3,Female,69
57,No,Travel_Rarely,Travel_Rarely,Sales,29,3,Marketing,1,568,1,Male,56
50,No,Travel_Rarely,Travel_Rarely,Research & Development,29,4,Life Sciences,1,569,2,Male,88
30,No,Non-Travel,Travel_Rarely,Research & Development,2,3,Medical,1,571,3,Female,49
60,No,Travel_Frequently,Travel_Rarely,Sales,28,3,Marketing,1,573,3,Female,80
47,No,Travel_Rarely,Travel_Rarely,Research & Development,2,2,Medical,1,574,1,Female,65
46,No,Travel_Rarely,Travel_Rarely,Research & Development,2,3,Life Sciences,1,575,1,Male,51
35,No,Travel_Rarely,Travel_Rarely,Research & Development,22,3,Life Sciences,1,577,4,Male,46
54,No,Travel_Rarely,Travel_Rarely,Research & Development,8,4,Life Sciences,1,578,3,Female,42
34,No,Travel_Rarely,Travel_Rarely,Research & Development,2,4,Life Sciences,1,579,4,Male,62
46,No,Travel_Rarely,Travel_Rarely,Sales,10,3,Marketing,1,580,3,Female,94
31,No,Travel_Rarely,Travel_Rarely,Research & Development,9,1,Life Sciences,1,581,3,Male,33
33,Yes,Travel_Rarely,Travel_Rarely,Research & Development,15,1,Medical,1,582,2,Male,56
33,Yes,Travel_Rarely,Travel_Rarely,Research & Development,10,1,Medical,1,584,1,Male,38
30,No,Travel_Rarely,Travel_Rarely,Sales,7,1,Marketing,1,585,4,Male,57
35,No,Travel_Rarely,Travel_Rarely,Research & Development,16,3,Life Sciences,1,586,4,Male,72
31,Yes,Travel_Frequently,Travel_Rarely,Research & Development,20,3,Life Sciences,1,587,1,Male,66
34,Yes,Travel_Frequently,Travel_Rarely,Human Resources,23,3,Human Resources,1,590,2,Female,43
42,No,Travel_Frequently,Travel_Rarely,Research & Development,5,2,Other,1,591,2,Male,97
36,No,Non-Travel,Travel_Rarely,Sales,10,4,Medical,1,592,2,Male,32
22,Yes,Travel_Frequently,Travel_Rarely,Research & Development,4,1,Technical Degree,1,593,3,Male,99
48,No,Travel_Rarely,Travel_Rarely,Sales,2,5,Marketing,1,595,2,Female,37
55,No,Travel_Rarely,Travel_Rarely,Sales,18,5,Life Sciences,1,597,1,Female,83
41,No,Non-Travel,Travel_Rarely,Sales,10,2,Life Sciences,1,599,4,Male,56
35,No,Travel_Rarely,Travel_Rarely,Sales,1,3,Marketing,1,600,2,Male,85
40,No,Travel_Rarely,Travel_Rarely,Research & Development,6,3,Life Sciences,1,601,2,Female,75
39,No,Travel_Frequently,Travel_Rarely,Research & Development,8,1,Life Sciences,1,602,3,Female,48
31,No,Travel_Rarely,Travel_Rarely,Sales,2,1,Life Sciences,1,604,2,Male,77
42,No,Travel_Rarely,Travel_Rarely,Research & Development,24,3,Medical,1,605,4,Male,56
45,No,Travel_Rarely,Travel_Rarely,Sales,2,3,Other,1,606,4,Male,61
26,Yes,Travel_Frequently,Travel_Rarely,Human Resources,17,4,Life Sciences,1,608,2,Female,58
29,No,Travel_Rarely,Travel_Rarely,Research & Development,19,3,Technical Degree,1,611,4,Male,34
33,No,Travel_Rarely,Travel_Rarely,Research & Development,1,5,Medical,1,612,1,Female,95
31,No,Travel_Rarely,Travel_Rarely,Sales,7,3,Life Sciences,1,613,3,Male,44
18,Yes,Travel_Frequently,Travel_Rarely,Sales,5,3,Marketing,1,614,2,Male,69
40,No,Non-Travel,Travel_Rarely,Sales,28,3,Other,1,615,3,Male,58
41,No,Non-Travel,Travel_Rarely,Research & Development,2,4,Other,1,616,1,Female,62
26,No,Travel_Rarely,Travel_Rarely,Sales,29,2,Medical,1,618,1,Male,45
35,No,Travel_Rarely,Travel_Rarely,Sales,1,3,Medical,1,620,1,Female,80
34,No,Travel_Rarely,Travel_Rarely,Sales,21,4,Life Sciences,1,621,4,Male,74
26,Yes,Travel_Rarely,Travel_Rarely,Research & Development,24,3,Technical Degree,1,622,3,Male,66
37,No,Travel_Rarely,Travel_Rarely,Research & Development,1,3,Technical Degree,1,623,2,Female,59
46,No,Travel_Frequently,Travel_Rarely,Research & Development,18,1,Medical,1,624,1,Female,86
41,No,Travel_Rarely,Travel_Rarely,Sales,2,5,Life Sciences,1,625,2,Female,91
37,No,Non-Travel,Travel_Rarely,Sales,9,4,Medical,1,626,1,Male,69
52,No,Travel_Rarely,Travel_Rarely,Research & Development,6,2,Technical Degree,1,630,4,Male,78
32,Yes,Non-Travel,Travel_Rarely,Sales,11,4,Other,1,631,4,Male,60
24,No,Travel_Frequently,Travel_Rarely,Sales,24,3,Medical,1,632,4,Male,38
38,No,Travel_Rarely,Travel_Rarely,Research & Development,10,3,Medical,1,634,3,Female,76
37,No,Travel_Rarely,Travel_Rarely,Research & Development,1,4,Life Sciences,1,635,2,Female,65
49,No,Travel_Rarely,Travel_Rarely,Research & Development,18,4,Life Sciences,1,638,4,Male,58
24,No,Travel_Rarely,Travel_Rarely,Research & Development,23,3,Medical,1,639,2,Male,89
26,No,Travel_Rarely,Travel_Rarely,Sales,28,2,Marketing,1,641,1,Male,66
24,No,Travel_Rarely,Travel_Rarely,Research & Development,17,2,Other,1,643,4,Male,94
50,No,Travel_Frequently,Travel_Rarely,Human Resources,3,3,Medical,1,644,1,Male,99
25,No,Travel_Rarely,Travel_Rarely,Sales,13,1,Medical,1,645,2,Male,40
24,Yes,Travel_Frequently,Travel_Rarely,Research & Development,7,3,Life Sciences,1,647,1,Female,55
30,Yes,Travel_Frequently,Travel_Rarely,Sales,12,4,Life Sciences,1,648,2,Male,74
34,No,Travel_Rarely,Travel_Rarely,Research & Development,1,2,Life Sciences,1,649,2,Male,83
31,Yes,Travel_Rarely,Travel_Rarely,Sales,13,4,Medical,1,650,2,Male,46
35,No,Travel_Rarely,Travel_Rarely,Research & Development,25,2,Other,1,652,1,Male,54
31,No,Travel_Rarely,Travel_Rarely,Sales,6,4,Medical,1,653,1,Male,66
27,No,Travel_Rarely,Travel_Rarely,Research & Development,6,4,Medical,1,655,1,Female,66
37,No,Travel_Rarely,Travel_Rarely,Sales,2,3,Marketing,1,656,4,Male,75
20,No,Travel_Rarely,Travel_Rarely,Research & Development,1,3,Life Sciences,1,657,4,Female,83
42,No,Travel_Rarely,Travel_Rarely,Research & Development,2,4,Life Sciences,1,659,3,Female,81
43,No,Travel_Rarely,Travel_Rarely,Research & Development,6,4,Other,1,661,2,Male,50
38,No,Travel_Rarely,Travel_Rarely,Research & Development,1,1,Life Sciences,1,662,3,Female,43
43,No,Travel_Frequently,Travel_Rarely,Research & Development,9,5,Medical,1,663,4,Male,72
48,No,Travel_Rarely,Travel_Rarely,Research & Development,1,4,Life Sciences,1,664,4,Female,40
44,No,Travel_Rarely,Travel_Rarely,Human Resources,1,4,Life Sciences,1,665,1,Female,50
34,No,Travel_Rarely,Travel_Rarely,Sales,14,3,Technical Degree,1,666,3,Female,31
27,Yes,Travel_Rarely,Travel_Rarely,Sales,2,1,Marketing,1,667,3,Male,85
21,No,Travel_Rarely,Travel_Rarely,Sales,22,1,Technical Degree,1,669,3,Male,49
44,No,Travel_Rarely,Travel_Rarely,Research & Development,3,4,Other,1,671,4,Male,35
22,No,Travel_Rarely,Travel_Rarely,Research & Development,6,1,Medical,1,675,1,Male,69
33,No,Travel_Rarely,Travel_Rarely,Sales,8,4,Marketing,1,677,3,Male,39
32,No,Travel_Rarely,Travel_Rarely,Research & Development,9,4,Life Sciences,1,679,1,Female,92
30,No,Travel_Frequently,Travel_Rarely,Research & Development,3,3,Medical,1,680,3,Female,71
53,No,Travel_Rarely,Travel_Rarely,Sales,1,1,Medical,1,682,4,Female,34
34,No,Travel_Rarely,Travel_Rarely,Research & Development,1,5,Life Sciences,1,683,2,Male,42
45,Yes,Travel_Frequently,Travel_Rarely,Sales,26,4,Life Sciences,1,684,1,Female,100
26,No,Travel_Rarely,Travel_Rarely,Research & Development,6,3,Life Sciences,1,686,3,Female,71
37,No,Travel_Rarely,Travel_Rarely,Research & Development,3,3,Other,1,689,3,Male,36
29,No,Travel_Rarely,Travel_Rarely,Sales,3,2,Medical,1,690,2,Female,62
35,No,Travel_Rarely,Travel_Rarely,Research & Development,6,4,Life Sciences,1,691,2,Male,82
33,No,Travel_Frequently,Travel_Rarely,Research & Development,6,3,Life Sciences,1,692,3,Male,30
54,No,Travel_Rarely,Travel_Rarely,Human Resources,19,4,Medical,1,698,3,Male,88
36,No,Travel_Rarely,Travel_Rarely,Research & Development,9,2,Medical,1,699,2,Male,48
27,No,Travel_Rarely,Travel_Rarely,Research & Development,3,4,Medical,1,700,1,Male,54
20,Yes,Travel_Rarely,Travel_Rarely,Research & Development,10,1,Medical,1,701,4,Male,32
33,Yes,Travel_Frequently,Travel_Rarely,Research & Development,3,3,Life Sciences,1,702,1,Male,70
35,No,Non-Travel,Travel_Rarely,Research & Development,3,3,Life Sciences,1,704,3,Male,41
23,No,Travel_Rarely,Travel_Rarely,Research & Development,4,3,Medical,1,705,1,Male,58
25,No,Travel_Rarely,Travel_Rarely,Sales,8,3,Life Sciences,1,707,4,Male,57
38,No,Travel_Rarely,Travel_Rarely,Sales,7,4,Marketing,1,709,4,Female,46
29,No,Travel_Frequently,Travel_Rarely,Research & Development,1,4,Life Sciences,1,710,2,Male,76
48,No,Travel_Rarely,Travel_Rarely,Sales,2,1,Marketing,1,712,2,Male,56
27,No,Travel_Frequently,Travel_Rarely,Sales,3,1,Medical,1,714,4,Female,71
37,No,Travel_Rarely,Travel_Rarely,Research & Development,10,2,Life Sciences,1,715,4,Male,80
50,No,Travel_Rarely,Travel_Rarely,Research & Development,28,1,Medical,1,716,4,Male,74
34,No,Travel_Rarely,Travel_Rarely,Research & Development,9,3,Medical,1,717,4,Female,46
24,Yes,Travel_Rarely,Travel_Rarely,Sales,3,2,Life Sciences,1,720,1,Female,65
39,No,Travel_Rarely,Travel_Rarely,Research & Development,2,4,Technical Degree,1,721,4,Female,80
32,No,Travel_Rarely,Travel_Rarely,Sales,10,3,Marketing,1,722,4,Male,55
50,Yes,Travel_Frequently,Travel_Rarely,Sales,8,2,Technical Degree,1,723,2,Male,50
38,No,Travel_Rarely,Travel_Rarely,Research & Development,1,4,Life Sciences,1,724,2,Female,33
27,No,Travel_Rarely,Travel_Rarely,Research & Development,1,2,Life Sciences,1,725,3,Female,68
32,No,Travel_Rarely,Travel_Rarely,Research & Development,3,2,Life Sciences,1,727,3,Female,39
47,No,Travel_Rarely,Travel_Rarely,Sales,14,4,Marketing,1,728,4,Male,42
40,No,Travel_Frequently,Travel_Rarely,Sales,5,4,Life Sciences,1,729,4,Male,48
53,No,Travel_Rarely,Travel_Rarely,Research & Development,7,3,Life Sciences,1,730,3,Male,59
41,No,Travel_Rarely,Travel_Rarely,Human Resources,10,4,Human Resources,1,731,2,Male,73
60,No,Travel_Rarely,Travel_Rarely,Sales,16,4,Marketing,1,732,1,Male,84
27,No,Travel_Frequently,Travel_Rarely,Research & Development,10,2,Life Sciences,1,733,4,Male,32
41,No,Travel_Rarely,Travel_Rarely,Human Resources,1,3,Human Resources,1,734,4,Male,59
50,No,Travel_Rarely,Travel_Rarely,Sales,8,4,Marketing,1,738,4,Male,54
28,Yes,Travel_Rarely,Travel_Rarely,Research & Development,1,2,Life Sciences,1,741,1,Female,67
36,No,Non-Travel,Travel_Rarely,Research & Development,8,3,Life Sciences,1,742,1,Female,63
38,No,Travel_Rarely,Travel_Rarely,Research & Development,1,3,Life Sciences,1,743,3,Female,81
44,No,Non-Travel,Travel_Rarely,Research & Development,24,3,Medical,1,744,1,Male,49
47,No,Travel_Frequently,Travel_Rarely,Sales,3,3,Medical,1,746,4,Female,49
30,No,Travel_Rarely,Travel_Rarely,Sales,27,5,Marketing,1,747,3,Male,99
29,No,Travel_Rarely,Travel_Rarely,Sales,10,3,Life Sciences,1,749,3,Male,99
42,Yes,Travel_Frequently,Travel_Rarely,Research & Development,19,3,Medical,1,752,3,Male,57
43,No,Travel_Frequently,Travel_Rarely,Sales,15,3,Life Sciences,1,754,4,Male,47
34,No,Travel_Rarely,Travel_Rarely,Research & Development,8,2,Medical,1,757,2,Female,96
23,No,Travel_Rarely,Travel_Rarely,Research & Development,9,1,Medical,1,758,2,Male,37
39,No,Travel_Rarely,Travel_Rarely,Human Resources,3,3,Human Resources,1,760,3,Female,44
56,No,Travel_Rarely,Travel_Rarely,Research & Development,9,3,Medical,1,762,3,Male,81
40,No,Travel_Rarely,Travel_Rarely,Research & Development,2,1,Medical,1,763,4,Female,86
27,No,Travel_Rarely,Travel_Rarely,Research & Development,7,3,Medical,1,764,4,Female,55
29,No,Travel_Rarely,Travel_Rarely,Sales,10,3,Marketing,1,766,4,Male,83
53,No,Travel_Rarely,Travel_Rarely,Research & Development,6,3,Life Sciences,1,769,4,Male,86
35,No,Non-Travel,Travel_Rarely,Research & Development,2,4,Life Sciences,1,771,4,Female,61
32,No,Travel_Frequently,Travel_Rarely,Research & Development,24,4,Life Sciences,1,772,1,Male,80
38,No,Travel_Rarely,Travel_Rarely,Research & Development,2,5,Medical,1,773,4,Male,92
34,No,Travel_Rarely,Travel_Rarely,Research & Development,8,5,Life Sciences,1,775,2,Female,32
52,No,Travel_Rarely,Travel_Rarely,Sales,3,4,Marketing,1,776,3,Male,31
33,Yes,Travel_Rarely,Travel_Rarely,Research & Development,1,4,Other,1,780,4,Male,63
25,No,Travel_Rarely,Travel_Rarely,Sales,26,1,Medical,1,781,3,Female,32
45,No,Travel_Rarely,Travel_Rarely,Sales,2,2,Technical Degree,1,783,2,Male,46
23,No,Travel_Rarely,Travel_Rarely,Research & Development,10,1,Medical,1,784,1,Male,79
47,Yes,Travel_Frequently,Travel_Rarely,Sales,27,2,Life Sciences,1,785,2,Female,77
34,No,Travel_Rarely,Travel_Rarely,Sales,2,3,Other,1,786,4,Male,60
55,Yes,Travel_Rarely,Travel_Rarely,Research & Development,2,3,Medical,1,787,4,Male,78
36,No,Non-Travel,Travel_Rarely,Sales,8,4,Life Sciences,1,789,1,Male,76
52,No,Non-Travel,Travel_Rarely,Research & Development,19,4,Medical,1,791,4,Male,41
26,No,Travel_Frequently,Travel_Rarely,Research & Development,1,2,Life Sciences,1,792,1,Female,71
29,No,Travel_Rarely,Travel_Rarely,Research & Development,27,3,Medical,1,793,2,Female,66
26,Yes,Travel_Rarely,Travel_Rarely,Sales,8,3,Technical Degree,1,796,4,Male,38
34,No,Travel_Rarely,Travel_Rarely,Research & Development,1,4,Life Sciences,1,797,2,Female,72
54,No,Travel_Rarely,Travel_Rarely,Research & Development,19,4,Medical,1,799,4,Female,95
27,No,Travel_Frequently,Travel_Rarely,Sales,8,1,Marketing,1,800,3,Male,84
