Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,ANOTHER_CATEGORICAL_COLUMN,ANNUAL CTC,ANNUAL SALES 
38,0,Travel_Rarely,688,Research & Development,23,4,Life Sciences,4,Male,82,MAYBE,164000,163934
26,1,Travel_Rarely,1449,Research & Development,16,4,Medical,1,Male,45,YES,90000,89934
28,0,Travel_Rarely,1117,Research & Development,8,2,Life Sciences,4,Female,66,NO,132000,131934
49,0,Travel_Frequently,636,Research & Development,10,4,Life Sciences,3,Female,35,CANTSAY,70000,69934
36,0,Travel_Rarely,506,Research & Development,3,3,Technical Degree,3,Male,30,MAYBE,60000,59934
31,0,Travel_Frequently,444,Sales,5,3,Marketing,4,Female,84,YES,168000,167934
26,1,Travel_Rarely,950,Sales,4,4,Marketing,4,Male,48,NO,96000,95934
37,0,Travel_Frequently,889,Research & Development,9,3,Medical,2,Male,53,CANTSAY,106000,105934
42,0,Travel_Frequently,555,Sales,26,3,Marketing,3,Female,77,MAYBE,154000,153934
18,1,Travel_Rarely,230,Research & Development,3,3,Life Sciences,3,Male,54,YES,108000,107934
35,0,Travel_Rarely,1232,Sales,16,3,Marketing,3,Male,96,NO,192000,191934
36,0,Travel_Frequently,566,Research & Development,18,4,Life Sciences,3,Male,81,CANTSAY,162000,161934
51,0,Travel_Rarely,1302,Research & Development,2,3,Medical,4,Male,84,MAYBE,168000,167934
41,0,Travel_Rarely,334,Sales,2,4,Life Sciences,4,Male,88,YES,176000,175934
18,0,Travel_Rarely,812,Sales,10,3,Medical,4,Female,69,NO,138000,137934
28,0,Travel_Rarely,1476,Research & Development,16,2,Medical,2,Male,68,CANTSAY,136000,135934
31,0,Travel_Rarely,218,Sales,7,3,Technical Degree,2,Male,100,MAYBE,200000,199934
39,0,Travel_Rarely,1132,Research & Development,1,3,Medical,3,Male,48,YES,96000,95934
36,0,Non-Travel,1105,Research & Development,24,4,Life Sciences,2,Female,47,NO,94000,93934
32,0,Travel_Rarely,906,Sales,7,3,Life Sciences,4,Male,91,CANTSAY,182000,181934
38,0,Travel_Rarely,849,Research & Development,25,2,Life Sciences,1,Female,81,MAYBE,162000,161934
58,0,Non-Travel,390,Research & Development,1,4,Life Sciences,4,Male,32,YES,64000,63934
31,0,Travel_Rarely,691,Research & Development,5,4,Technical Degree,3,Male,86,NO,172000,171934
31,0,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,Male,62,CANTSAY,124000,123934
45,0,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,1,Male,97,MAYBE,194000,193934
31,0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,3,Male,32,YES,64000,63934
33,0,Travel_Frequently,553,Research & Development,5,4,Life Sciences,4,Female,74,NO,148000,147934
39,0,Travel_Rarely,117,Research & Development,10,1,Medical,3,Male,99,CANTSAY,198000,197934
43,0,Travel_Frequently,185,Research & Development,10,4,Life Sciences,3,Female,33,MAYBE,66000,65934
49,0,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,3,Female,90,YES,180000,179934
52,1,Travel_Rarely,723,Research & Development,8,4,Medical,3,Male,85,NO,170000,169934
27,0,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,3,Female,85,CANTSAY,170000,169934
32,0,Travel_Rarely,588,Sales,8,2,Technical Degree,3,Female,65,MAYBE,130000,129934
27,0,Travel_Rarely,1377,Sales,2,3,Life Sciences,4,Male,74,YES,148000,147934
31,0,Travel_Rarely,691,Sales,7,3,Marketing,4,Male,73,NO,146000,145934
32,0,Travel_Rarely,1018,Research & Development,2,4,Medical,1,Female,74,CANTSAY,148000,147934
28,1,Travel_Rarely,1157,Research & Development,2,4,Medical,1,Male,84,MAYBE,168000,167934
30,0,Travel_Rarely,1275,Research & Development,28,2,Medical,4,Female,64,YES,128000,127934
31,0,Travel_Frequently,798,Research & Development,7,2,Life Sciences,3,Female,48,NO,96000,95934
39,0,Travel_Frequently,672,Research & Development,7,2,Medical,3,Male,54,CANTSAY,108000,107934
39,1,Travel_Rarely,1162,Sales,3,2,Medical,4,Female,41,MAYBE,82000,81934
33,0,Travel_Frequently,508,Sales,10,3,Marketing,2,Male,46,YES,92000,91934
47,0,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,4,Male,42,NO,84000,83934
43,0,Travel_Frequently,559,Research & Development,10,4,Life Sciences,3,Female,82,CANTSAY,164000,163934
27,0,Non-Travel,210,Sales,1,1,Marketing,3,Male,73,MAYBE,146000,145934
54,0,Travel_Frequently,928,Research & Development,20,4,Life Sciences,4,Female,31,YES,62000,61934
43,0,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,3,Female,43,NO,86000,85934
45,0,Travel_Rarely,549,Research & Development,8,4,Other,4,Male,75,CANTSAY,150000,149934
40,0,Travel_Rarely,1124,Sales,1,2,Medical,2,Male,57,MAYBE,114000,113934
29,1,Travel_Rarely,318,Research & Development,8,4,Other,2,Male,77,YES,154000,153934
29,0,Travel_Rarely,738,Research & Development,9,5,Other,2,Male,30,NO,60000,59934
30,0,Travel_Rarely,570,Sales,5,3,Marketing,4,Female,30,CANTSAY,60000,59934
27,0,Travel_Rarely,1130,Sales,8,4,Marketing,2,Female,56,MAYBE,112000,111934
37,0,Travel_Rarely,1192,Research & Development,5,2,Medical,4,Male,61,YES,122000,121934
38,0,Travel_Rarely,343,Research & Development,15,2,Life Sciences,3,Male,92,NO,184000,183934
31,0,Travel_Rarely,1232,Research & Development,7,4,Medical,3,Female,39,CANTSAY,78000,77934
29,0,Travel_Rarely,144,Sales,10,1,Marketing,4,Female,39,MAYBE,78000,77934
35,0,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,3,Male,62,YES,124000,123934
23,0,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,3,Male,83,NO,166000,165934
41,0,Travel_Rarely,483,Research & Development,6,3,Medical,4,Male,95,CANTSAY,190000,189934
47,0,Travel_Frequently,1309,Sales,4,1,Medical,2,Male,99,MAYBE,198000,197934
42,0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,Female,44,YES,88000,87934
29,0,Non-Travel,746,Sales,2,3,Life Sciences,4,Male,61,NO,122000,121934
42,0,Travel_Rarely,544,Human Resources,2,1,Technical Degree,3,Male,52,CANTSAY,104000,103934
32,0,Travel_Rarely,1062,Research & Development,2,3,Medical,3,Female,75,MAYBE,150000,149934
48,0,Travel_Rarely,530,Sales,29,1,Medical,1,Female,91,YES,182000,181934
37,0,Travel_Rarely,1319,Research & Development,6,3,Medical,3,Male,51,NO,102000,101934
30,0,Non-Travel,641,Sales,25,2,Technical Degree,4,Female,85,CANTSAY,170000,169934
26,0,Travel_Rarely,933,Sales,1,3,Life Sciences,3,Male,57,MAYBE,114000,113934
42,0,Travel_Rarely,1332,Research & Development,2,4,Other,1,Male,98,YES,196000,195934
21,1,Travel_Frequently,756,Sales,1,1,Technical Degree,1,Female,99,NO,198000,197934
36,0,Non-Travel,845,Sales,1,5,Medical,4,Female,45,CANTSAY,90000,89934
36,0,Travel_Frequently,541,Sales,3,4,Medical,1,Male,48,MAYBE,96000,95934
57,0,Travel_Rarely,593,Research & Development,1,4,Medical,4,Male,88,YES,176000,175934
40,0,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,4,Female,46,NO,92000,91934
21,0,Non-Travel,895,Sales,9,2,Medical,1,Male,39,CANTSAY,78000,77934
33,1,Travel_Rarely,350,Sales,5,3,Marketing,4,Female,34,MAYBE,68000,67934
37,0,Travel_Rarely,921,Research & Development,10,3,Medical,3,Female,98,YES,196000,195934
46,0,Non-Travel,1144,Research & Development,7,4,Medical,3,Female,30,NO,60000,59934
41,1,Travel_Frequently,143,Sales,4,3,Marketing,1,Male,56,CANTSAY,112000,111934
50,0,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,4,Male,100,MAYBE,200000,199934
40,1,Travel_Rarely,575,Sales,22,2,Marketing,3,Male,68,YES,136000,135934
31,0,Travel_Rarely,408,Research & Development,9,4,Life Sciences,3,Male,42,NO,84000,83934
21,1,Travel_Rarely,156,Sales,12,3,Life Sciences,3,Female,90,CANTSAY,180000,179934
29,0,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,4,Male,54,MAYBE,108000,107934
35,0,Travel_Rarely,755,Research & Development,9,4,Life Sciences,3,Male,97,YES,194000,193934
27,0,Travel_Rarely,1469,Research & Development,1,2,Medical,4,Male,82,NO,164000,163934
28,0,Travel_Rarely,304,Sales,9,4,Life Sciences,2,Male,92,CANTSAY,184000,183934
49,0,Travel_Rarely,1261,Research & Development,7,3,Other,2,Male,31,MAYBE,62000,61934
51,0,Travel_Rarely,1178,Sales,14,2,Life Sciences,3,Female,87,YES,174000,173934
36,0,Travel_Rarely,329,Research & Development,2,3,Life Sciences,4,Female,96,NO,192000,191934
34,1,Non-Travel,1362,Sales,19,3,Marketing,1,Male,67,CANTSAY,134000,133934
55,0,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,3,Female,97,MAYBE,194000,193934
24,0,Travel_Rarely,1371,Sales,10,4,Marketing,4,Female,77,YES,154000,153934
30,0,Travel_Rarely,202,Sales,2,1,Technical Degree,3,Male,72,NO,144000,143934
26,1,Travel_Frequently,575,Research & Development,3,1,Technical Degree,3,Male,73,CANTSAY,146000,145934
22,0,Travel_Rarely,253,Research & Development,11,3,Medical,1,Female,43,MAYBE,86000,85934
36,0,Travel_Rarely,164,Sales,2,2,Medical,2,Male,61,YES,122000,121934
30,1,Travel_Frequently,464,Research & Development,4,3,Technical Degree,3,Male,40,NO,80000,79934
37,0,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,4,Female,95,CANTSAY,190000,189934
40,0,Travel_Rarely,759,Sales,2,2,Marketing,4,Female,46,MAYBE,92000,91934
42,0,Travel_Rarely,201,Research & Development,1,4,Life Sciences,2,Female,95,YES,190000,189934
37,0,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,3,Male,49,NO,98000,97934
43,0,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,Male,59,CANTSAY,118000,117934
40,0,Travel_Rarely,555,Research & Development,2,3,Medical,2,Female,78,MAYBE,156000,155934
54,0,Travel_Rarely,821,Research & Development,5,2,Medical,1,Male,86,YES,172000,171934
34,0,Non-Travel,1381,Sales,4,4,Marketing,3,Female,72,NO,144000,143934
31,0,Travel_Rarely,480,Research & Development,7,2,Medical,2,Female,31,CANTSAY,62000,61934
43,0,Travel_Frequently,313,Research & Development,21,3,Medical,4,Male,61,MAYBE,122000,121934
43,0,Travel_Rarely,1473,Research & Development,8,4,Other,3,Female,74,YES,148000,147934
25,0,Travel_Rarely,891,Sales,4,2,Life Sciences,2,Female,99,NO,198000,197934
37,0,Non-Travel,1063,Research & Development,25,5,Medical,2,Female,72,CANTSAY,144000,143934
31,0,Travel_Rarely,329,Research & Development,1,2,Life Sciences,4,Male,98,MAYBE,196000,195934
39,0,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,2,Male,52,YES,104000,103934
56,0,Travel_Frequently,906,Sales,6,3,Life Sciences,3,Female,86,NO,172000,171934
30,0,Travel_Rarely,1082,Sales,12,3,Technical Degree,2,Female,83,CANTSAY,166000,165934
41,0,Travel_Rarely,645,Sales,1,3,Marketing,2,Male,49,MAYBE,98000,97934
28,0,Travel_Rarely,1300,Research & Development,17,2,Medical,3,Male,79,YES,158000,157934
25,1,Travel_Rarely,688,Research & Development,3,3,Medical,1,Male,91,NO,182000,181934
52,0,Travel_Rarely,319,Research & Development,3,3,Medical,4,Male,39,CANTSAY,78000,77934
45,0,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,Male,69,MAYBE,138000,137934
52,0,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,4,Female,30,YES,60000,59934
42,0,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,Female,92,NO,184000,183934
30,0,Travel_Rarely,317,Research & Development,2,3,Life Sciences,3,Female,43,CANTSAY,86000,85934
60,0,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,Female,41,MAYBE,82000,81934
46,0,Travel_Rarely,1485,Research & Development,18,3,Medical,3,Female,87,YES,174000,173934
42,0,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,4,Female,88,NO,176000,175934
24,1,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,Female,62,CANTSAY,124000,123934
34,1,Travel_Frequently,296,Sales,6,2,Marketing,4,Female,33,MAYBE,66000,65934
38,0,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,4,Male,42,YES,84000,83934
40,0,Travel_Rarely,1398,Sales,2,4,Life Sciences,3,Female,79,NO,158000,157934
26,0,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,Female,90,CANTSAY,180000,179934
30,0,Non-Travel,1400,Research & Development,3,3,Life Sciences,3,Male,53,MAYBE,106000,105934
29,0,Travel_Rarely,986,Research & Development,3,4,Medical,2,Male,93,YES,186000,185934
29,1,Travel_Rarely,408,Research & Development,25,5,Technical Degree,3,Female,71,NO,142000,141934
19,1,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,Male,52,CANTSAY,104000,103934
30,0,Non-Travel,1398,Sales,22,4,Other,3,Female,69,MAYBE,138000,137934
57,0,Travel_Rarely,210,Sales,29,3,Marketing,1,Male,56,YES,112000,111934
50,0,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,2,Male,88,NO,176000,175934
30,0,Non-Travel,1116,Research & Development,2,3,Medical,3,Female,49,CANTSAY,98000,97934
60,0,Travel_Frequently,1499,Sales,28,3,Marketing,3,Female,80,MAYBE,160000,159934
47,0,Travel_Rarely,983,Research & Development,2,2,Medical,1,Female,65,YES,130000,129934
46,0,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,Male,51,NO,102000,101934
35,0,Travel_Rarely,144,Research & Development,22,3,Life Sciences,4,Male,46,CANTSAY,92000,91934
54,0,Travel_Rarely,548,Research & Development,8,4,Life Sciences,3,Female,42,MAYBE,84000,83934
34,0,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,4,Male,62,YES,124000,123934
46,0,Travel_Rarely,1125,Sales,10,3,Marketing,3,Female,94,NO,188000,187934
31,0,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,3,Male,33,CANTSAY,66000,65934
33,1,Travel_Rarely,1277,Research & Development,15,1,Medical,2,Male,56,MAYBE,112000,111934
33,1,Travel_Rarely,587,Research & Development,10,1,Medical,1,Male,38,YES,76000,75934
30,0,Travel_Rarely,413,Sales,7,1,Marketing,4,Male,57,NO,114000,113934
35,0,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,4,Male,72,CANTSAY,144000,143934
31,1,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,Male,66,MAYBE,132000,131934
34,1,Travel_Frequently,988,Human Resources,23,3,Human Resources,2,Female,43,YES,86000,85934
42,0,Travel_Frequently,1474,Research & Development,5,2,Other,2,Male,97,NO,194000,193934
36,0,Non-Travel,635,Sales,10,4,Medical,2,Male,32,CANTSAY,64000,63934
22,1,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,3,Male,99,MAYBE,198000,197934
48,0,Travel_Rarely,163,Sales,2,5,Marketing,2,Female,37,YES,74000,73934
55,0,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,Female,83,NO,166000,165934
41,0,Non-Travel,267,Sales,10,2,Life Sciences,4,Male,56,CANTSAY,112000,111934
35,0,Travel_Rarely,619,Sales,1,3,Marketing,2,Male,85,MAYBE,170000,169934
40,0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,2,Female,75,YES,150000,149934
39,0,Travel_Frequently,443,Research & Development,8,1,Life Sciences,3,Female,48,NO,96000,95934
31,0,Travel_Rarely,828,Sales,2,1,Life Sciences,2,Male,77,CANTSAY,154000,153934
42,0,Travel_Rarely,319,Research & Development,24,3,Medical,4,Male,56,MAYBE,112000,111934
45,0,Travel_Rarely,561,Sales,2,3,Other,4,Male,61,YES,122000,121934
26,1,Travel_Frequently,426,Human Resources,17,4,Life Sciences,2,Female,58,NO,116000,115934
29,0,Travel_Rarely,232,Research & Development,19,3,Technical Degree,4,Male,34,CANTSAY,68000,67934
33,0,Travel_Rarely,922,Research & Development,1,5,Medical,1,Female,95,MAYBE,190000,189934
31,0,Travel_Rarely,688,Sales,7,3,Life Sciences,3,Male,44,YES,88000,87934
18,1,Travel_Frequently,1306,Sales,5,3,Marketing,2,Male,69,NO,138000,137934
40,0,Non-Travel,1094,Sales,28,3,Other,3,Male,58,CANTSAY,116000,115934
41,0,Non-Travel,509,Research & Development,2,4,Other,1,Female,62,MAYBE,124000,123934
26,0,Travel_Rarely,775,Sales,29,2,Medical,1,Male,45,YES,90000,89934
35,0,Travel_Rarely,195,Sales,1,3,Medical,1,Female,80,NO,160000,159934
34,0,Travel_Rarely,258,Sales,21,4,Life Sciences,4,Male,74,CANTSAY,148000,147934
26,1,Travel_Rarely,471,Research & Development,24,3,Technical Degree,3,Male,66,MAYBE,132000,131934
37,0,Travel_Rarely,799,Research & Development,1,3,Technical Degree,2,Female,59,YES,118000,117934
46,0,Travel_Frequently,1034,Research & Development,18,1,Medical,1,Female,86,NO,172000,171934
41,0,Travel_Rarely,1276,Sales,2,5,Life Sciences,2,Female,91,CANTSAY,182000,181934
37,0,Non-Travel,142,Sales,9,4,Medical,1,Male,69,MAYBE,138000,137934
52,0,Travel_Rarely,956,Research & Development,6,2,Technical Degree,4,Male,78,YES,156000,155934
32,1,Non-Travel,1474,Sales,11,4,Other,4,Male,60,NO,120000,119934
24,0,Travel_Frequently,535,Sales,24,3,Medical,4,Male,38,CANTSAY,76000,75934
38,0,Travel_Rarely,1495,Research & Development,10,3,Medical,3,Female,76,MAYBE,152000,151934
37,0,Travel_Rarely,446,Research & Development,1,4,Life Sciences,2,Female,65,YES,130000,129934
49,0,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,4,Male,58,NO,116000,115934
24,0,Travel_Rarely,691,Research & Development,23,3,Medical,2,Male,89,CANTSAY,178000,177934
26,0,Travel_Rarely,703,Sales,28,2,Marketing,1,Male,66,MAYBE,132000,131934
24,0,Travel_Rarely,823,Research & Development,17,2,Other,4,Male,94,YES,188000,187934
50,0,Travel_Frequently,1246,Human Resources,3,3,Medical,1,Male,99,NO,198000,197934
25,0,Travel_Rarely,622,Sales,13,1,Medical,2,Male,40,CANTSAY,80000,79934
24,1,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,Female,55,MAYBE,110000,109934
30,1,Travel_Frequently,448,Sales,12,4,Life Sciences,2,Male,74,YES,148000,147934
34,0,Travel_Rarely,254,Research & Development,1,2,Life Sciences,2,Male,83,NO,166000,165934
31,1,Travel_Rarely,1365,Sales,13,4,Medical,2,Male,46,CANTSAY,92000,91934
35,0,Travel_Rarely,538,Research & Development,25,2,Other,1,Male,54,MAYBE,108000,107934
31,0,Travel_Rarely,525,Sales,6,4,Medical,1,Male,66,YES,132000,131934
27,0,Travel_Rarely,798,Research & Development,6,4,Medical,1,Female,66,NO,132000,131934
37,0,Travel_Rarely,558,Sales,2,3,Marketing,4,Male,75,CANTSAY,150000,149934
20,0,Travel_Rarely,959,Research & Development,1,3,Life Sciences,4,Female,83,MAYBE,166000,165934
42,0,Travel_Rarely,622,Research & Development,2,4,Life Sciences,3,Female,81,YES,162000,161934
43,0,Travel_Rarely,782,Research & Development,6,4,Other,2,Male,50,NO,100000,99934
38,0,Travel_Rarely,362,Research & Development,1,1,Life Sciences,3,Female,43,CANTSAY,86000,85934
43,0,Travel_Frequently,1001,Research & Development,9,5,Medical,4,Male,72,MAYBE,144000,143934
48,0,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,4,Female,40,YES,80000,79934
44,0,Travel_Rarely,1112,Human Resources,1,4,Life Sciences,1,Female,50,NO,100000,99934
34,0,Travel_Rarely,204,Sales,14,3,Technical Degree,3,Female,31,CANTSAY,62000,61934
27,1,Travel_Rarely,1420,Sales,2,1,Marketing,3,Male,85,MAYBE,170000,169934
21,0,Travel_Rarely,1343,Sales,22,1,Technical Degree,3,Male,49,YES,98000,97934
44,0,Travel_Rarely,1315,Research & Development,3,4,Other,4,Male,35,NO,70000,69934
22,0,Travel_Rarely,604,Research & Development,6,1,Medical,1,Male,69,CANTSAY,138000,137934
33,0,Travel_Rarely,1216,Sales,8,4,Marketing,3,Male,39,MAYBE,78000,77934
32,0,Travel_Rarely,646,Research & Development,9,4,Life Sciences,1,Female,92,YES,184000,183934
30,0,Travel_Frequently,160,Research & Development,3,3,Medical,3,Female,71,NO,142000,141934
53,0,Travel_Rarely,238,Sales,1,1,Medical,4,Female,34,CANTSAY,68000,67934
34,0,Travel_Rarely,1397,Research & Development,1,5,Life Sciences,2,Male,42,MAYBE,84000,83934
45,1,Travel_Frequently,306,Sales,26,4,Life Sciences,1,Female,100,YES,200000,199934
26,0,Travel_Rarely,991,Research & Development,6,3,Life Sciences,3,Female,71,NO,142000,141934
37,0,Travel_Rarely,482,Research & Development,3,3,Other,3,Male,36,CANTSAY,72000,71934
29,0,Travel_Rarely,1176,Sales,3,2,Medical,2,Female,62,MAYBE,124000,123934
35,0,Travel_Rarely,1017,Research & Development,6,4,Life Sciences,2,Male,82,YES,164000,163934
33,0,Travel_Frequently,1296,Research & Development,6,3,Life Sciences,3,Male,30,NO,60000,59934
54,0,Travel_Rarely,397,Human Resources,19,4,Medical,3,Male,88,CANTSAY,176000,175934
36,0,Travel_Rarely,913,Research & Development,9,2,Medical,2,Male,48,MAYBE,96000,95934
27,0,Travel_Rarely,1115,Research & Development,3,4,Medical,1,Male,54,YES,108000,107934
20,1,Travel_Rarely,1362,Research & Development,10,1,Medical,4,Male,32,NO,64000,63934
33,1,Travel_Frequently,1076,Research & Development,3,3,Life Sciences,1,Male,70,CANTSAY,140000,139934
35,0,Non-Travel,727,Research & Development,3,3,Life Sciences,3,Male,41,MAYBE,82000,81934
23,0,Travel_Rarely,885,Research & Development,4,3,Medical,1,Male,58,YES,116000,115934
25,0,Travel_Rarely,810,Sales,8,3,Life Sciences,4,Male,57,NO,114000,113934
38,0,Travel_Rarely,243,Sales,7,4,Marketing,4,Female,46,CANTSAY,92000,91934
29,0,Travel_Frequently,806,Research & Development,1,4,Life Sciences,2,Male,76,MAYBE,152000,151934
48,0,Travel_Rarely,817,Sales,2,1,Marketing,2,Male,56,YES,112000,111934
27,0,Travel_Frequently,1410,Sales,3,1,Medical,4,Female,71,NO,142000,141934
37,0,Travel_Rarely,1225,Research & Development,10,2,Life Sciences,4,Male,80,CANTSAY,160000,159934
50,0,Travel_Rarely,1207,Research & Development,28,1,Medical,4,Male,74,MAYBE,148000,147934
34,0,Travel_Rarely,1442,Research & Development,9,3,Medical,4,Female,46,YES,92000,91934
24,1,Travel_Rarely,693,Sales,3,2,Life Sciences,1,Female,65,NO,130000,129934
39,0,Travel_Rarely,408,Research & Development,2,4,Technical Degree,4,Female,80,CANTSAY,160000,159934
32,0,Travel_Rarely,929,Sales,10,3,Marketing,4,Male,55,MAYBE,110000,109934
50,1,Travel_Frequently,562,Sales,8,2,Technical Degree,2,Male,50,YES,100000,99934
38,0,Travel_Rarely,827,Research & Development,1,4,Life Sciences,2,Female,33,NO,66000,65934
27,0,Travel_Rarely,608,Research & Development,1,2,Life Sciences,3,Female,68,CANTSAY,136000,135934
32,0,Travel_Rarely,1018,Research & Development,3,2,Life Sciences,3,Female,39,MAYBE,78000,77934
47,0,Travel_Rarely,703,Sales,14,4,Marketing,4,Male,42,YES,84000,83934
40,0,Travel_Frequently,580,Sales,5,4,Life Sciences,4,Male,48,NO,96000,95934
53,0,Travel_Rarely,970,Research & Development,7,3,Life Sciences,3,Male,59,CANTSAY,118000,117934
41,0,Travel_Rarely,427,Human Resources,10,4,Human Resources,2,Male,73,MAYBE,146000,145934
60,0,Travel_Rarely,1179,Sales,16,4,Marketing,1,Male,84,YES,168000,167934
27,0,Travel_Frequently,294,Research & Development,10,2,Life Sciences,4,Male,32,NO,64000,63934
41,0,Travel_Rarely,314,Human Resources,1,3,Human Resources,4,Male,59,CANTSAY,118000,117934
50,0,Travel_Rarely,316,Sales,8,4,Marketing,4,Male,54,MAYBE,108000,107934
28,1,Travel_Rarely,654,Research & Development,1,2,Life Sciences,1,Female,67,YES,134000,133934
36,0,Non-Travel,427,Research & Development,8,3,Life Sciences,1,Female,63,NO,126000,125934
38,0,Travel_Rarely,168,Research & Development,1,3,Life Sciences,3,Female,81,CANTSAY,162000,161934
44,0,Non-Travel,381,Research & Development,24,3,Medical,1,Male,49,MAYBE,98000,97934
47,0,Travel_Frequently,217,Sales,3,3,Medical,4,Female,49,YES,98000,97934
30,0,Travel_Rarely,501,Sales,27,5,Marketing,3,Male,99,NO,198000,197934
29,0,Travel_Rarely,1396,Sales,10,3,Life Sciences,3,Male,99,CANTSAY,198000,197934
42,1,Travel_Frequently,933,Research & Development,19,3,Medical,3,Male,57,MAYBE,114000,113934
43,0,Travel_Frequently,775,Sales,15,3,Life Sciences,4,Male,47,YES,94000,93934
34,0,Travel_Rarely,970,Research & Development,8,2,Medical,2,Female,96,NO,192000,191934
23,0,Travel_Rarely,650,Research & Development,9,1,Medical,2,Male,37,CANTSAY,74000,73934
39,0,Travel_Rarely,141,Human Resources,3,3,Human Resources,3,Female,44,MAYBE,88000,87934
56,0,Travel_Rarely,832,Research & Development,9,3,Medical,3,Male,81,YES,162000,161934
40,0,Travel_Rarely,804,Research & Development,2,1,Medical,4,Female,86,NO,172000,171934
27,0,Travel_Rarely,975,Research & Development,7,3,Medical,4,Female,55,CANTSAY,110000,109934
29,0,Travel_Rarely,1090,Sales,10,3,Marketing,4,Male,83,MAYBE,166000,165934
53,0,Travel_Rarely,346,Research & Development,6,3,Life Sciences,4,Male,86,YES,172000,171934
35,0,Non-Travel,1225,Research & Development,2,4,Life Sciences,4,Female,61,NO,122000,121934
32,0,Travel_Frequently,430,Research & Development,24,4,Life Sciences,1,Male,80,CANTSAY,160000,159934
38,0,Travel_Rarely,268,Research & Development,2,5,Medical,4,Male,92,MAYBE,184000,183934
34,0,Travel_Rarely,167,Research & Development,8,5,Life Sciences,2,Female,32,YES,64000,63934
52,0,Travel_Rarely,621,Sales,3,4,Marketing,3,Male,31,NO,62000,61934
33,1,Travel_Rarely,527,Research & Development,1,4,Other,4,Male,63,CANTSAY,126000,125934
25,0,Travel_Rarely,883,Sales,26,1,Medical,3,Female,32,MAYBE,64000,63934
45,0,Travel_Rarely,954,Sales,2,2,Technical Degree,2,Male,46,YES,92000,91934
23,0,Travel_Rarely,310,Research & Development,10,1,Medical,1,Male,79,NO,158000,157934
47,1,Travel_Frequently,719,Sales,27,2,Life Sciences,2,Female,77,CANTSAY,154000,153934
34,0,Travel_Rarely,304,Sales,2,3,Other,4,Male,60,MAYBE,120000,119934
55,1,Travel_Rarely,725,Research & Development,2,3,Medical,4,Male,78,YES,156000,155934
36,0,Non-Travel,1434,Sales,8,4,Life Sciences,1,Male,76,NO,152000,151934
52,0,Non-Travel,715,Research & Development,19,4,Medical,4,Male,41,CANTSAY,82000,81934
26,0,Travel_Frequently,575,Research & Development,1,2,Life Sciences,1,Female,71,MAYBE,142000,141934
29,0,Travel_Rarely,657,Research & Development,27,3,Medical,2,Female,66,YES,132000,131934
26,1,Travel_Rarely,1146,Sales,8,3,Technical Degree,4,Male,38,NO,76000,75934
34,0,Travel_Rarely,182,Research & Development,1,4,Life Sciences,2,Female,72,CANTSAY,144000,143934
54,0,Travel_Rarely,376,Research & Development,19,4,Medical,4,Female,95,MAYBE,190000,189934
27,0,Travel_Frequently,829,Sales,8,1,Marketing,3,Male,84,YES,168000,167934
